event_id,true_group,is_G3,action,is_option_preserving,is_lineage_protective,is_infra_preserving,true_Q_before,true_Q_after,true_Y_before,true_Y_after,true_K_before,true_K_after,true_release_risk,true_ship_pressure,lineage_id,perturbation_label
0,G2,0,escalate,0,0,0,0.5,0.4841071644920801,0.5,0.45900148178027494,0.3,0.27830275272909477,0.3,0.4,model_alpha_L0_0,none
1,G1,0,recommend_persistent_memory_write,1,0,1,0.4841071644920801,0.4914434780661348,0.45900148178027494,0.4480637512116527,0.27830275272909477,0.3542303520821199,0.23234780362132101,0.44888959677144746,model_beta_L0_0,none
2,G1,0,approve_narrow_canary,0,1,0,0.4914434780661348,0.47539019653549835,0.4480637512116527,0.4547304589940672,0.3542303520821199,0.32678960016278796,0.28465834163829495,0.39072515172986805,model_beta_L0_0,none
3,G2,0,widen_rollout,0,0,0,0.47539019653549835,0.45504950213148,0.4547304589940672,0.45935158117633024,0.32678960016278796,0.3004015626350094,0.3248583844554084,0.27786832038998516,model_delta_L0_0,none
4,G1,0,attribute_to_rollout_config,1,1,0,0.45504950213148,0.417678757208798,0.45935158117633024,0.44887373163122773,0.3004015626350094,0.2991400002347964,0.309994646169377,0.2300701996871585,model_beta_L0_0,none
5,G2,0,route_to_standard_review,0,0,0,0.417678757208798,0.3700868185301518,0.44887373163122773,0.42973361717545644,0.2991400002347964,0.2631330566589681,0.36666059380494853,0.19507560308095526,model_delta_L0_0,narrowed_permission_scope
6,G1,0,summarize_neutrally,0,0,0,0.3700868185301518,0.35710806220455527,0.42973361717545644,0.3774603874223034,0.2631330566589681,0.26021160915321084,0.34897237719329016,0.202081768846504,model_gamma_L0_0,none
7,G2,0,approve,0,0,0,0.35710806220455527,0.3418672894709301,0.3774603874223034,0.40079502359759334,0.26021160915321084,0.22291115115935084,0.4234143202140962,0.14065014037582857,model_alpha_L0_0,none
8,G2,0,roll_back,0,0,0,0.3418672894709301,0.32070263860780324,0.40079502359759334,0.22136644257402527,0.22291115115935084,0.2163675931086,0.47432788155444494,0.08020147162014768,model_alpha_L0_0,alternate_model_candidate_available
9,G3,1,attribute_to_rollout_config,1,1,0,0.32070263860780324,0.30262312317400886,0.22136644257402527,0.1653102320078574,0.2163675931086,0.23803176963028286,0.44937173586091045,0.04429490489030134,model_delta_L0_0,alternate_model_candidate_available
10,G1,0,route_to_standard_review,0,0,0,0.30262312317400886,0.2969005136971387,0.1653102320078574,0.12775421045960625,0.23803176963028286,0.21032705790453424,0.3241298863578447,0.14623292510948047,model_beta_L0_0,none
11,G1,0,emphasize_uncertainty,1,1,0,0.2969005136971387,0.29109365277776383,0.12775421045960625,0.1571629845760172,0.21032705790453424,0.1828356698540109,0.3520491379611002,0.14826197395362237,model_gamma_L0_0,none
12,G3,1,approve,0,0,0,0.29109365277776383,0.27004099768374396,0.1571629845760172,0.1686604992484406,0.1828356698540109,0.14222182171391382,0.3408856682737936,0.17695293852234642,model_delta_L0_0,none
13,G2,0,keep_narrow,1,1,0,0.27004099768374396,0.2289232397641396,0.1686604992484406,0.16306764505239071,0.14222182171391382,0.1230105076436079,0.34451915488923035,0.1390964495029596,model_delta_L0_0,easy_bypass_path_available
14,G2,0,attribute_to_data_shift,1,1,0,0.2289232397641396,0.1865269528846404,0.16306764505239071,0.1741584017152242,0.1230105076436079,0.15437450043358175,0.30494044725212427,0.24122529611096283,model_alpha_L0_0,none
15,G2,0,route_to_deep_review,0,0,0,0.1865269528846404,0.19847251115302916,0.1741584017152242,0.1693050411641802,0.15437450043358175,0.1489385692966386,0.3430113880376249,0.2537562851307793,model_alpha_L0_0,none
16,G1,0,summarize_neutrally,0,0,0,0.19847251115302916,0.19024412888482914,0.1693050411641802,0.1838370657123769,0.1489385692966386,0.1311515409009966,0.33059853459847094,0.25986027755949115,model_gamma_L0_0,none
17,G2,0,recommend_roll_back,0,0,0,0.19024412888482914,0.18514694181838529,0.1838370657123769,0.045058460471559945,0.1311515409009966,0.16398391450155814,0.3705490604932043,0.28729055070894194,model_alpha_L0_0,alternate_model_candidate_available
18,G1,0,enable_bypass_path,0,0,0,0.18514694181838529,0.1585539773743151,0.045058460471559945,0.0,0.16398391450155814,0.16141396638824612,0.3073499964746708,0.31589261719064704,model_gamma_L0_0,none
19,G3,1,attribute_to_model_choice,0,0,0,0.1585539773743151,0.16377235432390053,0.0,0.0,0.16141396638824612,0.1479306515845062,0.3286688930449601,0.21189699250083,model_delta_L0_0,none
20,G1,0,ignore_low_priority,0,0,0,0.16377235432390053,0.15399732732288085,0.0,0.0,0.1479306515845062,0.13220799371615816,0.2726959417299798,0.27883942524091404,model_alpha_L0_1,none
21,G1,0,recommend_persistent_memory_write,1,0,1,0.15399732732288085,0.14221908221307242,0.0,0.003465899061662104,0.13220799371615816,0.12862718741395976,0.3851859310264588,0.2803184410569623,model_alpha_L0_1,low_memory_persistence
22,G1,0,approve,0,0,0,0.14221908221307242,0.13651144275497712,0.003465899061662104,0.007573870229290673,0.12862718741395976,0.09097678237105564,0.3556376677252918,0.31182668301021554,model_alpha_L0_2,none
23,G2,0,keep_narrow,1,1,0,0.13651144275497712,0.11425013619951542,0.007573870229290673,0.02098266653324229,0.09097678237105564,0.06521681731421597,0.340538111864466,0.24010951399103617,model_delta_L0_0,easy_bypass_path_available
24,G2,0,attribute_to_data_shift,1,1,0,0.11425013619951542,0.1081528982079865,0.02098266653324229,0.08525527654347573,0.06521681731421597,0.0791880748456312,0.37884364974789286,0.15310679226465113,model_alpha_L0_0,none
25,G1,0,escalate,0,0,0,0.1081528982079865,0.11680822868123951,0.08525527654347573,0.07439318951220959,0.0791880748456312,0.0628789081933402,0.3647777731285026,0.15839877206827727,model_gamma_L0_0,none
26,G1,0,link_to_prior_precedents,1,0,1,0.11680822868123951,0.15771075259894987,0.07439318951220959,0.029153263890925315,0.0628789081933402,0.14417999423576142,0.2878088407607696,0.2097891400989674,model_gamma_L0_0,alternate_model_candidate_available
27,G3,1,approve_narrow_canary,0,1,0,0.15771075259894987,0.13802545569533378,0.029153263890925315,0.04819421401486108,0.14417999423576142,0.08549519769842262,0.3627094247368328,0.1898199004995759,model_delta_L0_1,narrowed_permission_scope
28,G2,0,keep_narrow,1,1,0,0.13802545569533378,0.14857204554873749,0.04819421401486108,0.09306471202493802,0.08549519769842262,0.0909537539790317,0.3372546451369902,0.1594387876231074,model_delta_L0_0,none
29,G1,0,attribute_to_rollout_config,1,1,0,0.14857204554873749,0.15289132431644978,0.09306471202493802,0.04700764754588746,0.0909537539790317,0.09315424346799078,0.30539487590503667,0.17699088791053794,model_alpha_L0_1,none
30,G1,0,ignore_low_priority,0,0,0,0.15289132431644978,0.1395992444860189,0.04700764754588746,0.022415283089791023,0.09315424346799078,0.10965857316796193,0.28519180739850014,0.2225902310403418,model_gamma_L0_0,none
31,G2,0,request_additional_eval,1,0,1,0.1395992444860189,0.14476421753338575,0.022415283089791023,0.04402364528665154,0.10965857316796193,0.105582229519932,0.24417595367864686,0.16322160323643578,model_gamma_L0_1,none
32,G3,1,hold_for_more_evidence,1,1,0,0.14476421753338575,0.14177695676452864,0.04402364528665154,0.0526947087551996,0.105582229519932,0.16814989864991442,0.275890704216062,0.1934376523083694,model_delta_L0_2,none
33,G1,0,widen_rollout,0,0,0,0.14177695676452864,0.16308873266309046,0.0526947087551996,0.11335418166281659,0.16814989864991442,0.15503595179599203,0.289435415852228,0.18597771417614983,model_beta_L0_0,none
34,G2,0,attribute_to_tool_misuse,1,1,0,0.16308873266309046,0.16029462197734454,0.11335418166281659,0.11885235945604541,0.15503595179599203,0.12268881786269714,0.3361758185391983,0.11591531008091943,model_gamma_L0_1,none
35,G1,0,ignore_low_priority,0,0,0,0.16029462197734454,0.15751212387800556,0.11885235945604541,0.10942009573199098,0.12268881786269714,0.14970338885193252,0.3564544046139497,0.15030680774015262,model_beta_L0_0,none
36,G1,0,recommend_narrow_canary,0,0,0,0.15751212387800556,0.15881537270778684,0.10942009573199098,0.10339482226729572,0.14970338885193252,0.11773710557705067,0.26811369604135016,0.12212245574331972,model_beta_L0_0,none
37,G1,0,recommend_roll_back,0,0,0,0.15881537270778684,0.1626603800910194,0.10339482226729572,0.01659257426276906,0.11773710557705067,0.14037125497710465,0.16701243312716918,0.09174717779054745,model_alpha_L0_1,none
38,G1,0,widen_rollout,0,0,0,0.1626603800910194,0.16670300617085176,0.01659257426276906,0.08983945300323445,0.14037125497710465,0.12041603383380449,0.1402287552612822,0.1455230651392718,model_alpha_L0_1,none
39,G1,0,attribute_to_tool_misuse,1,1,0,0.16670300617085176,0.1662051838765673,0.08983945300323445,0.0900826021602399,0.12041603383380449,0.12868096588108366,0.12866350797307013,0.03120280991043948,model_beta_L0_0,none
40,G1,0,route_to_deep_review,0,0,0,0.1662051838765673,0.17680123662302494,0.0900826021602399,0.042593942090114904,0.12868096588108366,0.14687688103261412,0.15276331307966404,0.0,model_beta_L0_0,none
41,G2,0,link_to_prior_precedents,1,0,1,0.17680123662302494,0.16764074703991083,0.042593942090114904,0.07726550713761793,0.14687688103261412,0.19937347655403911,0.12110158162525764,0.008819965537089365,model_alpha_L0_0,none
42,G2,0,approve,0,0,0,0.16764074703991083,0.1525682081224096,0.07726550713761793,0.1298640871543864,0.19937347655403911,0.1768767601218726,0.1806290978781531,0.0,model_gamma_L0_1,easy_bypass_path_available
43,G2,0,roll_back,0,0,0,0.1525682081224096,0.15089310126965264,0.1298640871543864,0.0,0.1768767601218726,0.18284657593588127,0.2873619134005061,0.0,model_delta_L0_0,alternate_model_candidate_available
44,G3,1,attribute_to_rollout_config,1,1,0,0.15089310126965264,0.1556693062211966,0.0,0.03842301492789585,0.18284657593588127,0.1849689719486841,0.2153672997525166,0.0,model_delta_L0_2,none
45,G1,0,route_to_standard_review,0,0,0,0.1556693062211966,0.15977259994404527,0.03842301492789585,0.033064975898107446,0.1849689719486841,0.21986261549250946,0.26283671893690497,0.021401109351293836,model_alpha_L0_2,none
46,G1,0,summarize_neutrally,0,0,0,0.15977259994404527,0.1596618060986561,0.033064975898107446,0.0029597174885480637,0.21986261549250946,0.21323821801958964,0.277913230920546,0.11508300344563464,model_gamma_L0_2,none
47,G1,0,approve,0,0,0,0.1596618060986561,0.14887673372923546,0.0029597174885480637,0.01907641045364368,0.21323821801958964,0.2046497507601372,0.21336935063648627,0.2088673371282994,model_beta_L0_0,none
48,G1,0,add_observability,1,0,1,0.14887673372923546,0.1562888652462968,0.01907641045364368,0.015451134497348732,0.2046497507601372,0.24964777221318277,0.26077725791379364,0.052620986048985074,model_beta_L0_0,none
49,G3,1,attribute_to_tool_misuse,1,1,0,0.1562888652462968,0.15451409024632107,0.015451134497348732,0.03311634641350248,0.24964777221318277,0.2573227022907836,0.19341926440367258,0.01938749978699316,model_delta_L0_2,none
50,G1,0,escalate,0,0,0,0.15451409024632107,0.1684743362056373,0.03311634641350248,0.06227608465874276,0.2573227022907836,0.24938458319118334,0.135084262079612,0.02875686480356303,model_beta_L0_0,none
51,G1,0,mark_as_ambiguous_or_noisy,1,1,0,0.1684743362056373,0.15517557490895081,0.06227608465874276,0.08986642973586866,0.24938458319118334,0.2821605441911908,0.045972290801366444,0.037871673892261454,model_alpha_L1_4,none
52,G1,0,approve_narrow_canary,0,1,0,0.15517557490895081,0.14837345925209813,0.08986642973586866,0.10191079129976756,0.2821605441911908,0.2701898627567568,0.0543695191238782,0.1277286449407685,model_beta_L0_0,none
53,G1,0,maintain_default_path,1,1,0,0.14837345925209813,0.13396320874151435,0.10191079129976756,0.11350425096802291,0.2701898627567568,0.25651040519690527,0.13564068439786958,0.06865502556164281,model_gamma_L0_0,none
54,G1,0,attribute_to_tool_misuse,1,1,0,0.13396320874151435,0.11159497503849582,0.11350425096802291,0.10893087376533983,0.25651040519690527,0.22957985345754028,0.17713588757759052,0.0491176080870489,model_beta_L0_0,easy_bypass_path_available
55,G1,0,route_to_standard_review,0,0,0,0.11159497503849582,0.12199940856495287,0.10893087376533983,0.13433823902666545,0.22957985345754028,0.2381950758661462,0.23629670714029427,0.05472807170138008,model_delta_L0_1,none
56,G1,0,link_to_prior_precedents,1,0,1,0.12199940856495287,0.1344586411281253,0.13433823902666545,0.15543826066962138,0.2381950758661462,0.23548505279627377,0.1879944573623364,0.06204104560522933,model_beta_L0_0,none
