seed,regime,variant,injection_true,alarm_level,alarm_any,alarm_red,max_odds_ratio,dual_signal,n_flagged,g3_purity,g3_recall,n_g3_events,n_total_events,run_id,run_timestamp
664,none,default,False,none,0,0,0.864756,0,0,0.0,,0,500,7b803926-95f0-4577-b3e4-6f70d0d7476f,2026-03-31T22:09:23.535991+00:00
1664,none,default,False,yellow,1,0,1.511722,0,1,0.0,,0,500,ab9a7de0-6be0-4353-a279-78edd2414fdc,2026-03-31T22:09:23.535991+00:00
2664,none,default,False,none,0,0,1.375929,0,0,0.0,,0,500,025da640-990e-42ca-b437-f9b73dfe5b6d,2026-03-31T22:09:23.535991+00:00
3664,none,default,False,yellow,1,0,1.605865,0,2,0.0,,0,500,f17882a4-5249-4450-870c-14651402be85,2026-03-31T22:09:23.535991+00:00
4664,none,default,False,none,0,0,1.186155,0,0,0.0,,0,500,6be93454-2fc1-490d-8bcf-1186f35f038a,2026-03-31T22:09:23.535991+00:00
504,weak,default,True,none,0,0,1.051087,0,0,0.672727,0.37,100,500,e6b93aed-c983-4a3d-8499-8679b62496ec,2026-03-31T22:09:23.535991+00:00
1504,weak,default,True,none,0,0,1.113089,0,0,0.6,0.22807,171,500,7e2fb903-11c8-438c-9a2a-fdd69e0e58fe,2026-03-31T22:09:23.535991+00:00
2504,weak,default,True,none,0,0,1.099393,0,0,0.723077,0.52809,89,500,a07ef43e-c009-40fe-a510-23f2a81f06ec,2026-03-31T22:09:23.535991+00:00
3504,weak,default,True,none,0,0,1.047111,0,0,0.609375,0.672414,58,500,97d139e2-5e31-4c67-bd46-8ac2596005b0,2026-03-31T22:09:23.535991+00:00
4504,weak,default,True,yellow,1,0,1.546661,0,1,0.0,,0,500,6c3da6ea-8846-4fa4-85db-549c5191f217,2026-03-31T22:09:23.535991+00:00
465,moderate,default,True,none,0,0,1.36936,0,0,0.666667,0.405063,79,500,779185be-c6bb-41e7-9e14-792f0b1c13dc,2026-03-31T22:09:23.535991+00:00
1465,moderate,default,True,none,0,0,1.186505,0,0,0.696429,0.47561,82,500,f5f15db8-1286-4a84-b6e3-6c7831606498,2026-03-31T22:09:23.535991+00:00
2465,moderate,default,True,yellow,1,0,1.583596,0,1,0.6,0.307087,127,500,92da921d-195e-46c1-a87c-917c48263925,2026-03-31T22:09:23.535991+00:00
3465,moderate,default,True,yellow,1,0,1.567819,0,1,0.578431,0.797297,74,500,2d0321f6-ac85-4903-8377-89b85281d151,2026-03-31T22:09:23.535991+00:00
